INFO  - 2013-11-22 01:20:12.166; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-11-22 01:20:12.176; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-11-22 01:20:12.176; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-11-22 01:20:12.411; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-11-22 01:20:12.471; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-22 01:20:12.481; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-22 01:20:12.599; org.apache.solr.core.RequestHandlers; created search: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.601; org.apache.solr.core.RequestHandlers; created document: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.602; org.apache.solr.core.RequestHandlers; created advanced: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.614; org.apache.solr.core.RequestHandlers; created /update: solr.XmlUpdateRequestHandler
INFO  - 2013-11-22 01:20:12.623; org.apache.solr.core.RequestHandlers; created /update/javabin: solr.BinaryUpdateRequestHandler
INFO  - 2013-11-22 01:20:12.623; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.CSVRequestHandler
INFO  - 2013-11-22 01:20:12.625; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-11-22 01:20:12.625; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.JsonUpdateRequestHandler
INFO  - 2013-11-22 01:20:12.625; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-11-22 01:20:12.626; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:20:12.626; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:20:12.626; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.626; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.627; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.627; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.638; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-11-22 01:20:12.655; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-11-22 01:20:12.667; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-11-22 01:20:12.667; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.667; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.667; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.668; org.apache.solr.core.RequestHandlers; created tvrh: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.668; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.668; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.668; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.673; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.679; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-11-22 01:20:12.688; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /opt/solr/collection1/, dataDir=/opt/solr/collection1/data/
INFO  - 2013-11-22 01:20:12.689; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@19209ea
INFO  - 2013-11-22 01:20:12.697; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-11-22 01:20:12.697; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-11-22 01:20:12.701; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-11-22 01:20:12.704; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/collection1/data
INFO  - 2013-11-22 01:20:12.710; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/collection1/data/index/
INFO  - 2013-11-22 01:20:12.710; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/collection1/data/index
INFO  - 2013-11-22 01:20:12.711; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-11-22 01:20:12.711; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-11-22 01:20:12.712; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-11-22 01:20:12.712; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-11-22 01:20:12.713; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-11-22 01:20:12.715; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.721; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.725; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-11-22 01:20:12.728; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-11-22 01:20:12.730; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2013-11-22 01:20:12.732; org.apache.solr.handler.XmlUpdateRequestHandler; Using deprecated class: XmlUpdateRequestHandler -- replace with UpdateRequestHandler
INFO  - 2013-11-22 01:20:12.735; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-11-22 01:20:12.740; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
WARN  - 2013-11-22 01:20:12.740; org.apache.solr.handler.BinaryUpdateRequestHandler; Using deprecated class: BinaryUpdateRequestHandler -- replace with UpdateRequestHandler
INFO  - 2013-11-22 01:20:12.744; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-11-22 01:20:12.750; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-11-22 01:20:12.750; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:20:12.751; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:20:12.751; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.751; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.751; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.758; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:20:12.759; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-11-22 01:20:12.760; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-11-22 01:20:12.761; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-11-22 01:20:12.783; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-11-22 01:20:12.783; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.783; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.783; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.784; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.784; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:20:12.784; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
