INFO  - 2013-11-22 01:40:49.989; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-11-22 01:40:50.192; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-11-22 01:40:50.239; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-22 01:40:50.251; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-11-22 01:40:50.354; org.apache.solr.core.RequestHandlers; created search: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.356; org.apache.solr.core.RequestHandlers; created document: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.356; org.apache.solr.core.RequestHandlers; created advanced: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.390; org.apache.solr.core.RequestHandlers; created /update: solr.XmlUpdateRequestHandler
INFO  - 2013-11-22 01:40:50.400; org.apache.solr.core.RequestHandlers; created /update/javabin: solr.BinaryUpdateRequestHandler
INFO  - 2013-11-22 01:40:50.401; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.CSVRequestHandler
INFO  - 2013-11-22 01:40:50.402; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-11-22 01:40:50.402; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.JsonUpdateRequestHandler
INFO  - 2013-11-22 01:40:50.402; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-11-22 01:40:50.406; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:40:50.406; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:40:50.406; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.406; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.407; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.407; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.419; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-11-22 01:40:50.430; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-11-22 01:40:50.442; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-11-22 01:40:50.442; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.442; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.443; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.443; org.apache.solr.core.RequestHandlers; created tvrh: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.443; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.443; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.443; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.449; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.478; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-11-22 01:40:50.482; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /opt/solr/collection1/, dataDir=/opt/solr/collection1/data/
INFO  - 2013-11-22 01:40:50.483; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@19209ea
INFO  - 2013-11-22 01:40:50.494; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-11-22 01:40:50.495; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-11-22 01:40:50.501; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-11-22 01:40:50.508; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/collection1/data
INFO  - 2013-11-22 01:40:50.508; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/collection1/data/index/
INFO  - 2013-11-22 01:40:50.508; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/collection1/data/index
INFO  - 2013-11-22 01:40:50.508; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-11-22 01:40:50.509; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-11-22 01:40:50.513; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-11-22 01:40:50.514; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-11-22 01:40:50.514; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-11-22 01:40:50.516; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.505; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
WARN  - 2013-11-22 01:40:50.519; org.apache.solr.handler.XmlUpdateRequestHandler; Using deprecated class: XmlUpdateRequestHandler -- replace with UpdateRequestHandler
INFO  - 2013-11-22 01:40:50.520; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
WARN  - 2013-11-22 01:40:50.520; org.apache.solr.handler.BinaryUpdateRequestHandler; Using deprecated class: BinaryUpdateRequestHandler -- replace with UpdateRequestHandler
INFO  - 2013-11-22 01:40:50.525; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.543; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-11-22 01:40:50.550; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.555; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-11-22 01:40:50.561; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-11-22 01:40:50.574; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-11-22 01:40:50.574; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:40:50.574; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-11-22 01:40:50.574; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.575; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.575; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.582; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-11-22 01:40:50.583; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-11-22 01:40:50.583; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-11-22 01:40:50.584; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-11-22 01:40:50.616; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-11-22 01:40:50.617; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.621; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.621; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.622; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.622; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-11-22 01:40:50.622; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
